date,province,district_name,cases_count
2020-04-08,3,Dhading,1
2020-04-08,3,Kathmandu,2
2020-04-08,4,Baglung,2
2020-04-08,7,Kailali,3
2020-04-08,7,Kanchanpur,1
2020-04-12,2,Parsa,3
2020-04-13,2,Rautahat,1
2020-04-13,7,Kailali,1
2020-04-14,3,Kathmandu,2
2020-04-17,1,Udayapur,12
2020-04-17,3,Chitwan,2
2020-04-18,1,Udayapur,1
2020-04-21,1,Udayapur,11
2020-04-22,1,Udayapur,3
2020-04-23,1,Bhojpur,1
2020-04-23,1,Udayapur,1
2020-04-23,2,Dhanusa,1
2020-04-25,1,Jhapa,1
2020-04-26,1,Jhapa,1
2020-04-26,2,Parsa,2
2020-04-28,2,Rautahat,2
2020-04-29,2,Bara,2
2020-04-29,2,Parsa,1
2020-05-01,5,Banke,1
2020-05-01,5,Rupandehi,1
2020-05-03,2,Parsa,1
2020-05-03,5,Banke,15
2020-05-05,5,Banke,7
2020-05-06,2,Parsa,17
2020-05-07,5,Kapilbastu,2
2020-05-08,5,Banke,1
2020-05-09,1,Udayapur,3
2020-05-09,2,Parsa,1
2020-05-09,5,Kapilbastu,3
2020-05-10,1,Udayapur,1
2020-05-11,2,Saptari,1
2020-05-11,5,Bardiya,1
2020-05-11,5,Kapilbastu,16
2020-05-11,5,Rupandehi,6
2020-05-12,2,Bara,1
2020-05-12,2,Dhanusa,2
2020-05-12,2,Mahottari,2
2020-05-12,2,Parsa,57
2020-05-12,2,Sarlahi,1
2020-05-12,3,Bhaktapur,2
2020-05-12,3,Kathmandu,1
2020-05-12,5,Kapilbastu,8
2020-05-12,5,Rupandehi,9
2020-05-13,2,Parsa,3
2020-05-13,5,Banke,1
2020-05-13,5,Kapilbastu,9
2020-05-13,5,Nawalparasi West,1
2020-05-13,5,Rupandehi,12
2020-05-14,2,Dhanusa,1
2020-05-14,3,Dhading,1
2020-05-14,3,Kathmandu,2
2020-05-14,4,Nawalparasi East,1
2020-05-14,5,Kapilbastu,1
2020-05-15,1,Udayapur,1
2020-05-15,2,Parsa,4
2020-05-15,3,Kathmandu,1
2020-05-15,3,Makwanpur,1
2020-05-15,5,Banke,8
2020-05-15,5,Dang,3
2020-05-16,2,Dhanusa,2
2020-05-16,2,Mahottari,1
2020-05-16,2,Parsa,2
2020-05-16,2,Sarlahi,1
2020-05-16,2,Siraha,1
2020-05-16,3,Chitwan,1
2020-05-16,3,Kavrepalanchok,1
2020-05-16,3,Sindhupalchok,1
2020-05-16,5,Bardiya,1
2020-05-16,5,Kapilbastu,3
2020-05-17,1,Dhankuta,1
2020-05-17,1,Morang,2
2020-05-17,2,Rautahat,10
2020-05-17,5,Banke,1
2020-05-18,1,Jhapa,1
2020-05-18,1,Khotang,1
2020-05-18,1,Morang,1
2020-05-18,1,Sunsari,1
2020-05-18,2,Bara,1
2020-05-18,2,Dhanusa,3
2020-05-18,2,Rautahat,9
2020-05-18,3,Dhading,1
2020-05-18,5,Banke,59
2020-05-18,5,Dang,1
2020-05-18,5,Gulmi,1
2020-05-18,6,Dailekh,1
2020-05-19,1,Jhapa,9
2020-05-19,1,Morang,1
2020-05-19,1,Sunsari,1
2020-05-19,2,Sarlahi,2
2020-05-19,3,Bhaktapur,1
2020-05-19,3,Kathmandu,3
2020-05-19,3,Lalitpur,1
2020-05-19,3,Makwanpur,1
2020-05-19,3,Ramechhap,1
2020-05-19,3,Sindhuli,1
2020-05-19,4,Lamjung,1
2020-05-19,5,Kapilbastu,4
2020-05-19,5,Nawalparasi West,1
2020-05-20,1,Dhankuta,5
2020-05-20,5,Banke,6
2020-05-20,5,Kapilbastu,13
2020-05-20,5,Nawalparasi West,1
2020-05-21,1,Dhankuta,1
2020-05-21,1,Jhapa,23
2020-05-21,1,Sunsari,1
2020-05-21,5,Banke,2
2020-05-21,5,Dang,1
