date,province,district_name,municipality_name,cases_count
2020-04-08,3,Dhading,Nilakantha Municipality,1
2020-04-08,3,Kathmandu,Kathmandu Metropolitan City,2
2020-04-08,4,Baglung,Baglung Municipality,2
2020-04-08,7,Kailali,Dhangadhi Submetropolitan City,1
2020-04-08,7,Kailali,Mohanyal Rural Municipality,2
2020-04-08,7,Kanchanpur,Shuklaphanta National Park National Park,1
2020-04-12,2,Parsa,Birgunj Metropolitan City,3
2020-04-13,2,Rautahat,Gujara Municipality,1
2020-04-13,7,Kailali,Dhangadhi Submetropolitan City,1
2020-04-14,3,Kathmandu,Kageshwori Manahora Municipality,2
2020-04-17,1,Udayapur,Triyuga Municipality,12
2020-04-17,3,Chitwan,Bharatpur Metropolitan City,2
2020-04-18,1,Udayapur,Triyuga Municipality,1
2020-04-21,1,Udayapur,Triyuga Municipality,11
2020-04-22,1,Udayapur,Triyuga Municipality,3
2020-04-23,1,Bhojpur,Bhojpur Municipality,1
2020-04-23,1,Udayapur,Triyuga Municipality,1
2020-04-23,2,Dhanusa,Janakpur Submetropolitan City,1
2020-04-25,1,Jhapa,Kankai Municipality,1
2020-04-26,1,Jhapa,Kankai Municipality,1
2020-04-26,2,Parsa,Birgunj Metropolitan City,2
2020-04-28,2,Rautahat,Gujara Municipality,2
2020-04-29,2,Bara,Jitpur Simara Submetropolitan City,2
2020-04-29,2,Parsa,Birgunj Metropolitan City,1
2020-05-01,5,Banke,Nepalgunj Submetropolitan City,1
2020-05-01,5,Rupandehi,Sudhdhodhan Rural Municipality,1
2020-05-03,2,Parsa,Parsagadhi Municipality,1
2020-05-03,5,Banke,Nepalgunj Submetropolitan City,15
2020-05-05,5,Banke,Nepalgunj Submetropolitan City,7
2020-05-06,2,Parsa,Parsagadhi Municipality,7
2020-05-06,2,Parsa,Paterwasugauli Rural Municipality,2
2020-05-06,2,Parsa,SakhuwaPrasauni Rural Municipality,8
2020-05-07,5,Kapilbastu,Buddhabhumi Municipality,2
2020-05-08,5,Banke,Nepalgunj Submetropolitan City,1
2020-05-09,1,Udayapur,Triyuga Municipality,3
2020-05-09,2,Parsa,Parsagadhi Municipality,1
2020-05-09,5,Kapilbastu,Buddhabhumi Municipality,3
2020-05-10,1,Udayapur,Triyuga Municipality,1
2020-05-11,2,Saptari,Rupani Rural Municipality,1
2020-05-11,5,Bardiya,Barbardiya Municipality,1
2020-05-11,5,Kapilbastu,Buddhabhumi Municipality,16
2020-05-11,5,Rupandehi,Butwal Submetropolitan City,1
2020-05-11,5,Rupandehi,Siyari Rural Municipality,1
2020-05-11,5,Rupandehi,Sudhdhodhan Rural Municipality,4
2020-05-12,2,Bara,Jitpur Simara Submetropolitan City,1
2020-05-12,2,Dhanusa,Janakpur Submetropolitan City,2
2020-05-12,2,Mahottari,Aurahi Municipality,2
2020-05-12,2,Parsa,Parsagadhi Municipality,19
2020-05-12,2,Parsa,Paterwasugauli Rural Municipality,4
2020-05-12,2,Parsa,SakhuwaPrasauni Rural Municipality,34
2020-05-12,2,Sarlahi,Haripur Municipality,1
2020-05-12,3,Bhaktapur,Changunarayan Municipality,2
2020-05-12,3,Kathmandu,Budhanilakantha Municipality,1
2020-05-12,5,Kapilbastu,Buddhabhumi Municipality,8
2020-05-12,5,Rupandehi,Siyari Rural Municipality,4
2020-05-12,5,Rupandehi,Sudhdhodhan Rural Municipality,5
2020-05-13,2,Parsa,Parsagadhi Municipality,2
2020-05-13,2,Parsa,SakhuwaPrasauni Rural Municipality,1
2020-05-13,5,Banke,Rapti Sonari Rural Municipality,1
2020-05-13,5,Kapilbastu,Buddhabhumi Municipality,9
2020-05-13,5,Nawalparasi West,Bardaghat Municipality,1
2020-05-13,5,Rupandehi,Butwal Submetropolitan City,2
2020-05-13,5,Rupandehi,Siyari Rural Municipality,4
2020-05-13,5,Rupandehi,Sudhdhodhan Rural Municipality,6
2020-05-14,2,Dhanusa,Janakpur Submetropolitan City,1
2020-05-14,3,Dhading,Nilakantha Municipality,1
2020-05-14,3,Kathmandu,Budhanilakantha Municipality,1
2020-05-14,3,Kathmandu,Chandragiri Municipality,1
2020-05-14,4,Nawalparasi East,Binayee Tribeni Rural Municipality,1
2020-05-14,5,Kapilbastu,Buddhabhumi Municipality,1
2020-05-15,1,Udayapur,Triyuga Municipality,1
2020-05-15,2,Parsa,Parsagadhi Municipality,4
2020-05-15,3,Kathmandu,Budhanilakantha Municipality,1
2020-05-15,3,Makwanpur,Bhimphedi Rural Municipality,1
2020-05-15,5,Banke,Rapti Sonari Rural Municipality,8
2020-05-15,5,Dang,Tulsipur Submetropolitan City,3
2020-05-16,2,Dhanusa,Janakpur Submetropolitan City,2
2020-05-16,2,Mahottari,Aurahi Municipality,1
2020-05-16,2,Parsa,Parsagadhi Municipality,2
2020-05-16,2,Sarlahi,Chandranagar Rural Municipality,1
2020-05-16,2,Siraha,Naraha Rural Municipality,1
2020-05-16,3,Chitwan,Bharatpur Metropolitan City,1
2020-05-16,3,Kavrepalanchok,Dhulikhel Municipality,1
2020-05-16,3,Sindhupalchok,Panchpokhari Thangpal Rural Municipality,1
2020-05-16,5,Bardiya,Barbardiya Municipality,1
2020-05-16,5,Kapilbastu,Buddhabhumi Municipality,3
2020-05-17,1,Dhankuta,Dhankuta Municipality,1
2020-05-17,1,Morang,Biratnagar Metropolitan City,2
2020-05-17,2,Rautahat,Brindaban Municipality,3
2020-05-17,2,Rautahat,Chandrapur Municipality,2
2020-05-17,2,Rautahat,Gujara Municipality,5
2020-05-17,5,Banke,Narainapur Rural Municipality,1
2020-05-18,1,Jhapa,Kankai Municipality,1
2020-05-18,1,Khotang,Rupakot Majhuwagadhi Municipality,1
2020-05-18,1,Morang,Belbari Municipality,1
2020-05-18,1,Sunsari,Inaruwa Municipality,1
2020-05-18,2,Bara,Jitpur Simara Submetropolitan City,1
2020-05-18,2,Dhanusa,Janakpur Submetropolitan City,3
2020-05-18,2,Rautahat,Brindaban Municipality,2
2020-05-18,2,Rautahat,Chandrapur Municipality,1
2020-05-18,2,Rautahat,Gujara Municipality,6
2020-05-18,3,Dhading,Nilakantha Municipality,1
2020-05-18,5,Banke,Duduwa Rural Municipality,3
2020-05-18,5,Banke,Kohalpur Municipality,19
2020-05-18,5,Banke,Nepalgunj Submetropolitan City,5
2020-05-18,5,Banke,Rapti Sonari Rural Municipality,32
2020-05-18,5,Dang,Tulsipur Submetropolitan City,1
2020-05-18,5,Gulmi,Resunga Municipality,1
2020-05-18,6,Dailekh,Bhairabi Rural Municipality,1
2020-05-19,1,Jhapa,Barhadashi Rural Municipality,1
2020-05-19,1,Jhapa,Kankai Municipality,5
2020-05-19,1,Jhapa,Shivasataxi Municipality,3
2020-05-19,1,Morang,Belbari Municipality,1
2020-05-19,1,Sunsari,Itahari Submetropolitan City,1
2020-05-19,2,Sarlahi,Chandranagar Rural Municipality,1
