date,province,cases_count
2020-04-08,3,3
2020-04-08,4,2
2020-04-08,7,4
2020-04-12,2,3
2020-04-13,2,1
2020-04-13,7,1
2020-04-14,3,2
2020-04-17,1,12
2020-04-17,3,2
2020-04-18,1,1
2020-04-21,1,11
2020-04-22,1,3
2020-04-23,1,2
2020-04-23,2,1
2020-04-25,1,1
2020-04-26,1,1
2020-04-26,2,2
2020-04-28,2,2
2020-04-29,2,3
2020-05-01,5,2
2020-05-03,2,1
2020-05-03,5,15
2020-05-05,5,7
2020-05-06,2,17
2020-05-07,5,2
2020-05-08,5,1
2020-05-09,1,3
2020-05-09,2,1
2020-05-09,5,3
2020-05-10,1,1
2020-05-11,2,1
2020-05-11,5,23
2020-05-12,2,63
2020-05-12,3,3
2020-05-12,5,17
2020-05-13,2,3
2020-05-13,5,23
2020-05-14,2,1
2020-05-14,3,3
2020-05-14,4,1
2020-05-14,5,1
2020-05-15,1,1
2020-05-15,2,4
2020-05-15,3,2
2020-05-15,5,11
2020-05-16,2,7
2020-05-16,3,3
2020-05-16,5,4
2020-05-17,1,3
2020-05-17,2,10
2020-05-17,5,1
2020-05-18,1,4
2020-05-18,2,13
2020-05-18,3,1
2020-05-18,5,61
2020-05-18,6,1
2020-05-19,1,11
2020-05-19,2,2
2020-05-19,3,8
2020-05-19,4,1
2020-05-19,5,5
2020-05-20,1,5
2020-05-20,5,20
2020-05-21,1,25
2020-05-21,5,5
2020-05-22,1,1
2020-05-22,2,22
2020-05-22,3,4
2020-05-22,4,1
2020-05-22,5,26
2020-05-22,7,5
2020-05-23,1,1
2020-05-23,2,14
2020-05-23,3,2
2020-05-23,5,44
2020-05-23,6,3
2020-05-23,7,4
2020-05-24,1,1
2020-05-24,2,6
2020-05-24,3,2
2020-05-24,5,10
2020-05-25,2,56
2020-05-25,3,4
2020-05-25,5,11
2020-05-25,6,7
2020-05-25,7,1
2020-05-26,2,33
2020-05-26,4,2
2020-05-26,5,39
2020-05-26,6,14
2020-05-26,7,2
2020-05-27,1,17
2020-05-27,2,56
2020-05-27,3,1
2020-05-27,4,6
2020-05-27,5,34
2020-05-28,1,26
2020-05-28,2,93
2020-05-28,3,3
2020-05-28,4,4
2020-05-28,5,4
2020-05-28,6,22
2020-05-28,7,4
2020-05-29,1,28
2020-05-29,2,74
2020-05-29,4,3
2020-05-29,5,65
2020-05-30,1,3
2020-05-30,2,57
2020-05-30,3,1
2020-05-30,5,114
2020-05-30,6,14
2020-05-31,1,5
2020-05-31,2,77
2020-05-31,4,3
2020-05-31,5,13
2020-05-31,6,62
2020-05-31,7,6
2020-06-01,1,3
2020-06-01,2,70
2020-06-01,3,2
2020-06-01,4,4
2020-06-01,5,72
2020-06-01,6,75
2020-06-01,7,18
2020-06-02,1,1
2020-06-02,2,121
2020-06-02,3,8
2020-06-02,4,11
2020-06-02,5,65
2020-06-02,6,54
2020-06-02,7,28
2020-06-03,1,17
2020-06-03,2,45
2020-06-03,3,4
2020-06-03,5,113
2020-06-03,6,17
2020-06-03,7,5
2020-06-04,1,11
2020-06-04,2,103
2020-06-04,3,1
2020-06-04,4,16
2020-06-04,5,86
2020-06-04,6,114
2020-06-04,7,3
2020-06-05,1,44
2020-06-05,2,30
2020-06-05,3,26
2020-06-05,4,4
2020-06-05,5,68
2020-06-05,6,95
2020-06-05,7,11
2020-06-06,1,7
2020-06-06,2,84
2020-06-06,3,7
2020-06-06,4,14
2020-06-06,5,99
2020-06-06,6,101
2020-06-06,7,11
2020-06-07,1,10
2020-06-07,2,84
2020-06-07,3,2
2020-06-07,4,38
2020-06-07,5,20
2020-06-07,6,54
2020-06-07,7,5
2020-06-08,1,20
2020-06-08,2,181
2020-06-08,4,2
2020-06-08,5,95
2020-06-08,6,16
2020-06-09,1,5
2020-06-09,2,152
2020-06-09,3,27
2020-06-09,4,27
2020-06-09,5,57
2020-06-09,6,18
2020-06-09,7,37
2020-06-10,1,17
2020-06-10,2,98
2020-06-10,3,24
2020-06-10,4,5
2020-06-10,5,82
2020-06-10,6,37
2020-06-10,7,16
2020-06-11,1,6
2020-06-11,2,79
2020-06-11,3,7
2020-06-11,5,76
2020-06-11,6,55
2020-06-11,7,27
2020-06-12,1,30
2020-06-12,2,203
2020-06-12,3,38
2020-06-12,4,41
2020-06-12,5,53
2020-06-12,6,83
2020-06-13,1,9
2020-06-13,2,113
2020-06-13,3,1
2020-06-13,4,4
2020-06-13,5,76
2020-06-13,6,70
2020-06-14,1,27
2020-06-14,2,62
2020-06-14,3,2
2020-06-14,4,2
2020-06-14,5,68
2020-06-14,6,1
2020-06-14,7,64
2020-06-15,1,26
2020-06-15,2,231
2020-06-15,3,44
2020-06-15,4,5
2020-06-15,5,153
2020-06-15,6,181
2020-06-15,7,10
2020-06-16,1,5
2020-06-16,2,184
2020-06-16,3,2
2020-06-16,4,23
2020-06-16,5,80
2020-06-16,6,10
2020-06-16,7,76
2020-06-17,1,15
2020-06-17,2,367
2020-06-17,4,20
2020-06-17,5,133
2020-06-17,6,43
2020-06-17,7,8
2020-06-18,1,3
2020-06-18,2,66
2020-06-18,3,11
2020-06-18,4,77
2020-06-18,5,148
2020-06-18,6,121
2020-06-18,7,245
2020-06-19,1,6
2020-06-19,2,15
2020-06-19,3,35
2020-06-19,4,83
2020-06-19,5,107
