_id,id,bbox,centroid,title,title_en,title_ne,type,code,district,district_en,municipal_en,cases_count
5e8c4ea33e4d8a5ecdb0b0c3,1005,"[87.6501351349468, 27.4059813235384, 88.2016677742523, 27.9529233658092]","{'type': 'Point', 'coordinates': [87.89713038573582, 27.703009327937185]}",Phaktanglung,Phaktanglung,फक्ताङलुङ,Rural Municipality,phaktanglungmun,1,Taplejung,Phaktanglung Rural Municipality,12.0
5e8c4ea33e4d8a5ecdb0b0c4,1008,"[87.77471745301, 27.2923328214121, 88.1547806944035, 27.7020365869892]","{'type': 'Point', 'coordinates': [87.94650703496033, 27.476015174396345]}",Sirijangha,Sirijangha,सिरीजङ्घा,Rural Municipality,sirijanghamun,1,Taplejung,Sirijangha Rural Municipality,
5e8c4ea33e4d8a5ecdb0b0c5,3004,"[87.8412146034835, 26.8164192891186, 88.0113167428024, 27.0629174366599]","{'type': 'Point', 'coordinates': [87.90870574329286, 26.931357173383528]}",Illam,Illam,ईलाम,Municipality,ilammun,3,Ilam,Illam Municipality,26.0
5e8c4ea33e4d8a5ecdb0b0c6,3005,"[87.7549546416994, 26.6717200001313, 87.9627195316877, 26.864736195464]","{'type': 'Point', 'coordinates': [87.86804388704392, 26.766798245675115]}",Mai,Mai,माई,Municipality,maimun,3,Ilam,Mai Municipality,
5e8c4ea33e4d8a5ecdb0b0c7,3008,"[87.9629463772302, 26.7453124256956, 88.1848559296623, 26.8653143253276]","{'type': 'Point', 'coordinates': [88.0707327899741, 26.80308777471678]}",Rong,Rong,रोङ,Rural Municipality,rongmun,3,Ilam,Rong Rural Municipality,
5e8c4ea33e4d8a5ecdb0b0c8,3010,"[87.9303283215371, 26.7882964767319, 88.1747548115774, 27.0082148491041]","{'type': 'Point', 'coordinates': [88.0686217757398, 26.890694665529892]}",Suryodaya,Suryodaya,सूर्योदय,Municipality,suryodayamun,3,Ilam,Suryodaya Municipality,
5e8c4ea33e4d8a5ecdb0b0c9,5016,"[87.4978231863829, 26.3937283206551, 87.6056682076945, 26.5762864649287]","{'type': 'Point', 'coordinates': [87.55469341209228, 26.481412882492084]}",Sunwarshi,Sunwarshi,सुनवर्षी,Municipality,sunawarshimun,5,Morang,Sunwarshi Municipality,
5e8c4ea33e4d8a5ecdb0b0ca,6003,"[87.0702582955737, 26.5216423804476, 87.1338200033134, 26.6629311428637]","{'type': 'Point', 'coordinates': [87.09770973743994, 26.591838228645884]}",Bhokraha,Bhokraha,भोक्राहा नरसिंह,Rural Municipality,bhokrahamun,6,Sunsari,Bhokraha Rural Municipality,
5e8c4ea33e4d8a5ecdb0b0cb,6007,"[87.1465750798637, 26.4988293755846, 87.2601267745384, 26.6308370091294]","{'type': 'Point', 'coordinates': [87.19672353999539, 26.5606788171683]}",Gadhi,Gadhi,गढी,Rural Municipality,gadhimun,6,Sunsari,Gadhi Rural Municipality,
5e8c4ea33e4d8a5ecdb0b0cc,8001,"[87.5529362498398, 27.1294452218081, 87.7516512538617, 27.2870518093696]","{'type': 'Point', 'coordinates': [87.66114957776894, 27.214303273468204]}",Aathrai,Aathrai,आठराई,Rural Municipality,aathraimun,8,Terhathum,Aathrai Rural Municipality,
